month,City,Air_code,State,Airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,El Paso,ELP,TX,El Paso International,927,248,76.59,6.06,49.87,0.21,115.26,7,1,12992,4817,519,1644,7,6005
1,Elko,EKO,NV,Elko Regional,53,10,1.03,0.83,5.53,0,2.61,5,0,389,61,19,193,0,116
1,Elmira/Corning,ELM,NY,Elmira/Corning Regional,13,7,4.53,0,1.25,0,1.22,0,0,1199,948,0,43,0,208
1,Erie,ERI,PA,Erie International/Tom Ridge Field,106,27,7.65,0.96,10.77,0,7.62,8,0,1623,337,71,783,0,432
1,Escanaba,ESC,MI,Delta County,53,14,4.19,0,3.6,0,6.21,9,1,1404,444,0,337,0,623
1,Eugene,EUG,OR,Mahlon Sweet Field,272,72,21.39,2.95,15.34,0,32.33,19,1,4262,1553,164,549,0,1996
1,Evansville,EVV,IN,Evansville Regional,235,62,25.13,3.22,10.6,0,23.05,5,3,4884,1613,933,314,0,2024
1,Fairbanks,FAI,AK,Fairbanks International,173,21,7.69,0.87,9.27,0,3.17,4,0,850,261,169,306,0,114
1,Fargo,FAR,ND,Hector International,200,50,18.84,1,7.09,0,23.07,2,1,2963,1418,16,288,0,1241
1,Fayetteville,FAY,NC,Fayetteville Regional/Grannis Field,139,27,20.19,0.39,2.58,0,3.83,7,0,1995,1479,72,197,0,247
1,Fayetteville,XNA,AR,Northwest Arkansas Regional,418,103,34.38,2.96,24.8,0,40.87,9,5,7821,2123,841,1125,0,3732
1,Flagstaff,FLG,AZ,Flagstaff Pulliam,93,7,0.27,0.78,4.22,0,1.73,13,0,194,6,32,111,0,45
1,Flint,FNT,MI,Bishop International,375,81,21.63,4.54,17.48,0,37.34,17,1,6770,1535,1597,950,0,2688
1,Fort Lauderdale,FLL,FL,Fort Lauderdale-Hollywood International,7974,1670,471.64,47.71,628.4,5.04,517.22,289,34,110116,28942,4592,35182,380,41020
1,Fort Myers,RSW,FL,Southwest Florida International,3272,534,166.05,24.77,200.87,0,142.31,50,7,33021,10529,3418,9863,0,9211
1,Fort Smith,FSM,AR,Fort Smith Regional,88,15,7.87,0,3.16,0,3.97,2,1,1639,932,0,237,0,470
1,Fort Wayne,FWA,IN,Fort Wayne International,409,123,31.74,1.82,33.1,0,56.34,8,1,8532,2497,109,1387,0,4539
1,Fresno,FAT,CA,Fresno Yosemite International,675,189,36.37,0.37,52.29,0,99.96,7,0,11307,2407,51,2166,0,6683
1,Gainesville,GNV,FL,Gainesville Regional,190,41,21.76,0.42,6.59,0,12.23,3,1,3756,2134,13,342,0,1267
1,Garden City,GCK,KS,Garden City Regional,62,8,4.65,0,1.29,0,2.07,4,0,1024,767,0,51,0,206
1,Gillette,GCC,WY,Gillette Campbell County,89,13,5.62,0.34,3.5,0,3.54,2,1,814,279,29,161,0,345
1,Grand Forks,GFK,ND,Grand Forks International,102,20,6.5,0,3.68,0,9.82,0,3,1069,411,0,165,0,493
1,Grand Island,GRI,NE,Central Nebraska Regional,58,9,4.81,0,0.55,0,3.64,4,0,1355,1064,0,87,0,204
1,Grand Junction,GJT,CO,Grand Junction Regional,159,21,5.64,1,7.15,0,7.2,4,0,1009,276,111,243,0,379
1,Grand Rapids,GRR,MI,Gerald R. Ford International,904,206,71.51,9.73,50.4,0,74.37,25,6,13187,5775,817,1815,0,4780
1,Great Falls,GTF,MT,Great Falls International,90,12,1.89,0,8.17,0,1.94,0,0,490,80,0,279,0,131
1,Green Bay,GRB,WI,Green Bay Austin Straubel International,305,88,21.97,5.89,26.03,0,34.09,23,1,9624,2878,447,3690,0,2609
1,Greensboro/High Point,GSO,NC,Piedmont Triad International,370,85,28.63,6.3,12.31,0,37.76,5,0,6175,2113,425,712,0,2925
1,Greer,GSP,SC,Greenville-Spartanburg International,453,86,44.17,5.25,11.41,0,25.17,12,0,6309,3503,226,462,0,2118
1,Guam,GUM,TT,Guam International,31,10,6.41,0,2.08,0,1.51,0,0,425,265,0,53,0,107
1,Gulfport/Biloxi,GPT,MS,Gulfport-Biloxi International,194,43,18.1,0.51,9.6,0,14.8,7,1,3179,1667,54,458,0,1000
1,Gunnison,GUC,CO,Gunnison-Crested Butte Regional,42,11,4.39,0,3.24,0,3.37,2,3,786,278,0,132,0,376
1,Hancock/Houghton,CMX,MI,Houghton County Memorial,62,9,2.47,2.06,2.1,0,2.37,10,3,645,148,177,65,0,255
1,Harlingen/San Benito,HRL,TX,Valley International,185,36,11.11,2.27,8.31,0,14.31,2,1,1848,469,159,403,0,817
1,Harrisburg,MDT,PA,Harrisburg International,184,33,17.51,1.35,5.47,0,8.67,5,0,2587,1683,105,152,0,647
1,Hartford,BDL,CT,Bradley International,1733,352,129.95,11.62,65.05,0,145.39,17,1,21914,8660,1217,2378,0,9659
1,Hattiesburg/Laurel,PIB,MS,Hattiesburg-Laurel Regional,53,5,2,0,1.1,0,1.9,1,0,298,206,0,28,0,64
1,Hayden,HDN,CO,Yampa Valley,186,47,18.88,1.65,18.83,0,7.63,8,10,2611,1276,87,778,0,470
1,Hays,HYS,KS,Hays Regional,54,11,2.99,0,1.69,0,6.32,6,0,839,375,0,84,0,380
1,Helena,HLN,MT,Helena Regional,113,20,3.65,2.34,4.67,0,9.33,0,0,1240,291,271,227,0,451
1,Hibbing,HIB,MN,Range Regional,84,6,1,2.99,1.26,0,0.74,3,3,742,84,588,50,0,20
1,Hilo,ITO,HI,Hilo International,523,53,24.98,0.6,3.6,0,23.82,0,0,1426,664,9,113,0,640
1,Hobbs,HOB,NM,Lea County Regional,50,8,1.14,0.45,4.16,0,2.25,0,1,515,158,21,109,0,227
1,Honolulu,HNL,HI,Daniel K Inouye International,3808,684,304.18,33.58,131.52,1.55,213.18,15,3,37907,19421,2425,5023,64,10974
1,Houston,HOU,TX,William P Hobby,4500,928,216.99,18.63,286.53,1.01,404.85,66,15,42488,11208,1671,9014,29,20566
1,Houston,IAH,TX,George Bush Intercontinental/Houston,10788,1685,462.8,50.25,567.84,2.17,601.98,113,45,116416,38959,3984,30129,84,43260
1,Huntsville,HSV,AL,Huntsville International-Carl T Jones Field,284,49,21.33,5.5,10.14,0,12.03,3,0,4763,2495,560,368,0,1340
1,Idaho Falls,IDA,ID,Idaho Falls Regional,178,36,14.59,1.6,9.36,0,10.45,4,2,2575,1345,183,370,0,677
1,Indianapolis,IND,IN,Indianapolis International,2086,401,141.85,10.68,75.79,1,171.69,28,2,24194,8609,954,2809,22,11800
1,International Falls,INL,MN,Falls International Einarson Field,53,2,1,0,0.08,0,0.92,3,0,149,63,0,7,0,79
1,Iron Mountain/Kingsfd,IMT,MI,Ford,59,3,1,0,1,0,1,5,3,267,77,0,158,0,32
