month,City,Air_code,State,Airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,Cold,Fog,Hail,Precipitation,Rain,Snow,Storm,EventTotal,Avg_Severity,LocationLat,LocationLng,County,ZipCode
1,Fort Lauderdale,FLL,FL,Fort Lauderdale-Hollywood International,7974,1670,471.64,47.71,628.4,5.04,517.22,289,34,110116,28942,4592,35182,380,41020,0,0,0,0,34,0,0,34,1.147058824,26.0787,-80.1622,Broward,33315
1,Fort Lauderdale,FLL,FL,Fort Lauderdale-Hollywood International,7974,1670,471.64,47.71,628.4,5.04,517.22,289,34,110116,28942,4592,35182,380,41020,0,3,0,0,27,0,0,30,1.466666667,26.199,-80.1776,Broward,33309
1,Fort Myers,RSW,FL,Southwest Florida International,3272,534,166.05,24.77,200.87,0,142.31,50,7,33021,10529,3418,9863,0,9211,0,6,0,1,24,0,0,31,1.774193548,26.5849,-81.8615,Lee,33907
1,Fort Myers,RSW,FL,Southwest Florida International,3272,534,166.05,24.77,200.87,0,142.31,50,7,33021,10529,3418,9863,0,9211,0,11,0,0,22,0,0,33,1.909090909,26.5381,-81.7567,Lee,33913
1,Fort Smith,FSM,AR,Fort Smith Regional,88,15,7.87,0,3.16,0,3.97,2,1,1639,932,0,237,0,470,0,10,0,2,33,7,0,52,1.769230769,35.3335,-94.3652,Sebastian,72903
1,Fort Wayne,FWA,IN,Fort Wayne International,409,123,31.74,1.82,33.1,0,56.34,8,1,8532,2497,109,1387,0,4539,0,12,0,0,82,23,1,118,1.43220339,40.9725,-85.2064,Allen,46809
1,Fresno,FAT,CA,Fresno Yosemite International,675,189,36.37,0.37,52.29,0,99.96,7,0,11307,2407,51,2166,0,6683,0,18,0,1,53,0,0,72,1.527777778,36.78,-119.7194,Fresno,93727
1,Gainesville,GNV,FL,Gainesville Regional,190,41,21.76,0.42,6.59,0,12.23,3,1,3756,2134,13,342,0,1267,1,47,0,0,20,0,0,68,2.926470588,29.6917,-82.276,Alachua,32609
1,Garden City,GCK,KS,Garden City Regional,62,8,4.65,0,1.29,0,2.07,4,0,1024,767,0,51,0,206,0,8,0,0,21,15,0,44,1.613636364,37.9275,-100.7244,Finney,67846
1,Gillette,GCC,WY,Gillette Campbell County,89,13,5.62,0.34,3.5,0,3.54,2,1,814,279,29,161,0,345,1,15,0,0,0,26,3,45,2.066666667,43.9325,-105.4465,Campbell,82718
1,Gillette,GCC,WY,Gillette Campbell County,89,13,5.62,0.34,3.5,0,3.54,2,1,814,279,29,161,0,345,0,10,0,0,0,24,3,37,1.837837838,44.3394,-105.5419,Campbell,82716
1,Grand Forks,GFK,ND,Grand Forks International,102,20,6.5,0,3.68,0,9.82,0,3,1069,411,0,165,0,493,10,15,0,0,6,28,0,59,2.050847458,47.9492,-97.1761,Grand Forks,58203
1,Grand Island,GRI,NE,Central Nebraska Regional,58,9,4.81,0,0.55,0,3.64,4,0,1355,1064,0,87,0,204,1,12,0,0,7,15,0,35,2.114285714,40.9611,-98.3136,Hall,68801
1,Grand Junction,GJT,CO,Grand Junction Regional,159,21,5.64,1,7.15,0,7.2,4,0,1009,276,111,243,0,379,0,9,0,0,12,44,0,65,1.492307692,39.1342,-108.54,Mesa,81506
1,Grand Rapids,GRR,MI,Gerald R. Ford International,904,206,71.51,9.73,50.4,0,74.37,25,6,13187,5775,817,1815,0,4780,0,20,1,0,32,45,0,98,1.551020408,42.8808,-85.5228,Kent,49512
1,Great Falls,GTF,MT,Great Falls International,90,12,1.89,0,8.17,0,1.94,0,0,490,80,0,279,0,131,7,12,0,0,0,25,0,44,2.181818182,47.4733,-111.3822,Cascade,59404
1,Greer,GSP,SC,Greenville-Spartanburg International,453,86,44.17,5.25,11.41,0,25.17,12,0,6309,3503,226,462,0,2118,0,7,0,0,47,17,0,71,1.732394366,34.8839,-82.2208,Spartanburg,29651
1,Gunnison,GUC,CO,Gunnison-Crested Butte Regional,42,11,4.39,0,3.24,0,3.37,2,3,786,278,0,132,0,376,9,34,0,0,6,99,0,148,1.966216216,38.5339,-106.933,Gunnison,81230
1,Gunnison,GUC,CO,Gunnison-Crested Butte Regional,42,11,4.39,0,3.24,0,3.37,2,3,786,278,0,132,0,376,0,20,0,0,0,11,41,72,3.402777778,38.4844,-106.3169,Gunnison,81230
1,Hartford,BDL,CT,Bradley International,1733,352,129.95,11.62,65.05,0,145.39,17,1,21914,8660,1217,2378,0,9659,0,12,0,0,47,18,0,77,1.558441558,41.7367,-72.6494,Hartford,6114
1,Hayden,HDN,CO,Yampa Valley,186,47,18.88,1.65,18.83,0,7.63,8,10,2611,1276,87,778,0,470,2,0,0,0,0,0,1,3,4,40.4812,-107.2177,Routt,81639
1,Hays,HYS,KS,Hays Regional,54,11,2.99,0,1.69,0,6.32,6,0,839,375,0,84,0,380,2,4,0,0,4,15,0,25,2.04,38.8391,-99.2742,Ellis,67601
1,Helena,HLN,MT,Helena Regional,113,20,3.65,2.34,4.67,0,9.33,0,0,1240,291,271,227,0,451,5,53,0,0,0,32,0,90,2,46.6044,-111.9892,Lewis and Clark,59601
1,Hibbing,HIB,MN,Range Regional,84,6,1,2.99,1.26,0,0.74,3,3,742,84,588,50,0,20,11,38,0,0,7,31,0,87,2.356321839,47.3804,-92.8324,St. Louis,55746
1,Hobbs,HOB,NM,Lea County Regional,50,8,1.14,0.45,4.16,0,2.25,0,1,515,158,21,109,0,227,0,4,0,0,10,1,0,15,2.2,32.6875,-103.217,Lea,88240
1,Houston,HOU,TX,William P Hobby,4500,928,216.99,18.63,286.53,1.01,404.85,66,15,42488,11208,1671,9014,29,20566,0,17,0,0,9,0,0,26,2.5,29.6073,-95.1587,Harris,77034
1,Houston,HOU,TX,William P Hobby,4500,928,216.99,18.63,286.53,1.01,404.85,66,15,42488,11208,1671,9014,29,20566,0,23,1,0,49,0,0,73,1.945205479,29.6375,-95.2824,Harris,77061
1,Houston,HOU,TX,William P Hobby,4500,928,216.99,18.63,286.53,1.01,404.85,66,15,42488,11208,1671,9014,29,20566,0,13,0,1,56,0,0,70,1.714285714,29.9844,-95.3607,Harris,77073
1,Houston,HOU,TX,William P Hobby,4500,928,216.99,18.63,286.53,1.01,404.85,66,15,42488,11208,1671,9014,29,20566,0,0,0,7,0,0,0,7,1,29.714,-95.395,Harris,77030
1,Houston,IAH,TX,George Bush Intercontinental/Houston,10788,1685,462.8,50.25,567.84,2.17,601.98,113,45,116416,38959,3984,30129,84,43260,0,17,0,0,9,0,0,26,2.5,29.6073,-95.1587,Harris,77034
1,Houston,IAH,TX,George Bush Intercontinental/Houston,10788,1685,462.8,50.25,567.84,2.17,601.98,113,45,116416,38959,3984,30129,84,43260,0,23,1,0,49,0,0,73,1.945205479,29.6375,-95.2824,Harris,77061
1,Houston,IAH,TX,George Bush Intercontinental/Houston,10788,1685,462.8,50.25,567.84,2.17,601.98,113,45,116416,38959,3984,30129,84,43260,0,13,0,1,56,0,0,70,1.714285714,29.9844,-95.3607,Harris,77073
1,Houston,IAH,TX,George Bush Intercontinental/Houston,10788,1685,462.8,50.25,567.84,2.17,601.98,113,45,116416,38959,3984,30129,84,43260,0,0,0,7,0,0,0,7,1,29.714,-95.395,Harris,77030
1,Huntsville,HSV,AL,Huntsville International-Carl T Jones Field,284,49,21.33,5.5,10.14,0,12.03,3,0,4763,2495,560,368,0,1340,0,8,0,0,57,2,0,67,1.611940299,34.6787,-86.6848,Madison,35898
1,Idaho Falls,IDA,ID,Idaho Falls Regional,178,36,14.59,1.6,9.36,0,10.45,4,2,2575,1345,183,370,0,677,2,15,0,0,3,58,0,78,1.641025641,43.5208,-112.0661,Bonneville,83402
1,Indianapolis,IND,IN,Indianapolis International,2086,401,141.85,10.68,75.79,1,171.69,28,2,24194,8609,954,2809,22,11800,0,12,0,0,62,14,0,88,1.488636364,39.825,-86.2958,Marion,46254
