month,Cold,Fog,Hail,Precipitation,Rain,Snow,Storm,EventTotal,Avg_Severity,LocationLat,LocationLng,City,County,State,ZipCode
1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.0,38.7578,-104.3013,,El Paso,CO,
1,4.0,9.0,0.0,0.0,15.0,1.0,1.0,30,2.5,32.4113,-99.6819,Abilene,Taylor,TX,79602.0
1,0.0,5.0,0.0,0.0,27.0,3.0,0.0,35,1.2857142857142858,35.0417,-106.6147,Albuquerque,Bernalillo,NM,87106.0
1,8.0,24.0,0.0,0.0,0.0,35.0,0.0,67,2.074626865671642,45.4436,-98.4138,Aberdeen,Brown,SD,57401.0
1,0.0,11.0,0.0,1.0,68.0,0.0,0.0,80,1.8125,31.5365,-84.1957,Albany,Dougherty,GA,31721.0
1,0.0,24.0,0.0,0.0,2.0,96.0,0.0,122,1.4918032786885247,44.9867,-85.2022,Bellaire,Antrim,MI,49615.0
1,4.0,12.0,0.0,0.0,45.0,0.0,0.0,61,1.7868852459016393,32.1108,-84.1888,Americus,Sumter,GA,31709.0
1,0.0,12.0,0.0,0.0,54.0,14.0,2.0,82,1.6585365853658536,41.253,-70.061,Nantucket,Nantucket,MA,2554.0
1,0.0,17.0,0.0,0.0,39.0,2.0,0.0,58,1.8448275862068966,30.7503,-92.6883,Oakdale,Allen,LA,71463.0
1,0.0,27.0,0.0,0.0,11.0,32.0,0.0,70,1.9714285714285715,44.0702,-93.5534,Waseca,Waseca,MN,56093.0
1,1.0,9.0,0.0,1.0,27.0,2.0,1.0,41,1.829268292682927,31.618000000000002,-97.2283,Waco,McLennan,TX,76708.0
1,0.0,10.0,0.0,0.0,122.0,0.0,0.0,132,1.2803030303030303,40.9785,-124.1048,McKinleyville,Humboldt,CA,95519.0
1,0.0,11.0,0.0,0.0,33.0,19.0,0.0,63,1.6825396825396826,39.452,-74.567,Egg Harbor Township,Atlantic,NJ,8234.0
1,12.0,35.0,0.0,0.0,18.0,48.0,0.0,113,2.079646017699115,46.4502,-95.2135,Compton,Otter Tail,MN,56482.0
1,0.0,16.0,0.0,0.0,43.0,47.0,0.0,106,1.5566037735849056,41.8678,-84.0794,Adrian,Lenawee,MI,49221.0
1,0.0,12.0,0.0,0.0,36.0,11.0,0.0,59,1.8305084745762712,34.8043,-96.6712,Ada,Pontotoc,OK,74820.0
1,2.0,14.0,0.0,0.0,31.0,3.0,0.0,50,2.12,34.3007,-97.0089,Ardmore,Carter,OK,73401.0
1,15.0,11.0,0.0,0.0,13.0,1.0,0.0,40,2.8,32.9686,-96.8364,Addison,Dallas,TX,75001.0
1,0.0,18.0,0.0,0.0,10.0,27.0,0.0,55,1.9454545454545455,41.7014,-94.9205,Audubon,Audubon,IA,50025.0
1,0.0,14.0,0.0,1.0,89.0,15.0,0.0,119,1.403361344537815,38.8108,-76.867,Andrews Air Force Base,Prince George's,MD,20762.0
1,3.0,4.0,0.0,0.0,21.0,11.0,0.0,39,1.564102564102564,35.145,-106.795,West Bernalillo,Bernalillo,NM,87120.0
1,4.0,12.0,0.0,0.0,3.0,40.0,0.0,59,1.4745762711864407,38.8142,-106.1207,Buena Vista,Chaffee,CO,81211.0
1,4.0,32.0,0.0,0.0,5.0,39.0,0.0,80,2.225,43.6822,-93.3722,Albert Lea,Freeborn,MN,56007.0
1,0.0,6.0,0.0,0.0,61.0,3.0,0.0,70,1.6285714285714286,31.3347,-92.5586,Alexandria,Rapides,LA,71303.0
1,0.0,5.0,0.0,0.0,23.0,49.0,14.0,91,1.6263736263736264,38.9697,-104.8131,Usaf Academy,El Paso,CO,80840.0
1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4,1.75,40.1365,-80.2902,Washington,Washington,PA,15301.0
1,1.0,18.0,0.0,0.0,15.0,14.0,0.0,48,2.1458333333333335,40.6065,-95.8635,Nebraska City,Otoe,NE,68410.0
1,0.0,5.0,0.0,0.0,28.0,45.0,0.0,78,1.4487179487179487,42.8067,-72.0013,Jaffrey,Cheshire,NH,3452.0
1,33.0,52.0,0.0,0.0,2.0,117.0,0.0,204,1.9754901960784315,42.7112,-110.9422,Afton,Lincoln,WY,83110.0
1,0.0,13.0,0.0,0.0,43.0,2.0,0.0,58,1.793103448275862,35.0194,-80.0784,Wadesboro,Anson,NC,28170.0
1,0.0,10.0,0.0,0.0,33.0,1.0,0.0,44,1.9772727272727273,32.9733,-97.3181,Fort Worth,Tarrant,TX,76177.0
1,0.0,22.0,0.0,0.0,58.0,27.0,0.0,107,1.6168224299065421,40.3552,-79.9214,West Mifflin,Allegheny,PA,15122.0
1,0.0,28.0,0.0,3.0,77.0,1.0,0.0,109,2.0825688073394497,33.3644,-81.9633,Augusta,Richmond,GA,30906.0
1,0.0,13.0,0.0,1.0,62.0,2.0,0.0,78,1.8846153846153846,33.9486,-83.3263,Athens,Clarke,GA,30605.0
1,0.0,6.0,0.0,0.0,4.0,26.0,0.0,36,1.6944444444444444,41.2406,-96.5946,Wahoo,Saunders,NE,68066.0
1,3.0,12.0,0.0,0.0,0.0,16.0,0.0,31,2.129032258064516,42.0572,-102.8,Alliance,Box Butte,NE,69301.0
1,0.0,5.0,0.0,0.0,18.0,44.0,1.0,68,1.2647058823529411,38.239000000000004,-108.5668,Nucla,Montrose,CO,81424.0
1,0.0,2.0,0.0,0.0,8.0,3.0,0.0,13,1.4615384615384615,40.1061,-85.6098,Anderson,Madison,IN,46017.0
1,7.0,23.0,0.0,0.0,4.0,54.0,0.0,88,1.9545454545454546,45.1566,-89.1114,Antigo,Langlade,WI,54409.0
1,2.0,84.0,0.0,0.0,41.0,2.0,0.0,129,2.2248062015503876,33.6509,-81.6821,Aiken,Aiken,SC,29805.0
1,0.0,19.0,0.0,0.0,16.0,20.0,0.0,55,1.7636363636363637,41.4059,-95.0465,Atlantic,Cass,IA,50022.0
1,11.0,24.0,0.0,0.0,0.0,35.0,0.0,70,2.1,46.549,-93.6757,Spencer,Aitkin,MN,56431.0
1,1.0,15.0,0.0,0.0,23.0,14.0,0.0,53,1.9056603773584906,38.1005,-92.5474,Brumley,Miller,MO,65017.0
1,0.0,8.0,0.0,0.0,60.0,5.0,0.0,73,1.4109589041095891,38.6093,-87.7251,Saint Francisville,Lawrence,IL,62460.0
1,0.0,0.0,0.0,12.0,4.0,0.0,0.0,16,1.0625,33.8977,-117.6024,Corona,Riverside,CA,92880.0
1,0.0,2.0,0.0,0.0,24.0,26.0,0.0,52,1.0961538461538463,38.7869,-108.0658,Delta,Delta,CO,81416.0
1,0.0,24.0,0.0,0.0,57.0,12.0,0.0,93,1.967741935483871,35.1969,-81.1555,Gastonia,Gaston,NC,28056.0
1,0.0,8.0,0.0,0.0,1.0,13.0,0.0,22,2.0454545454545454,40.1743,-103.2146,Akron,Washington,CO,80720.0
1,1.0,14.0,0.0,1.0,52.0,14.0,0.0,82,1.7560975609756098,36.9827,-77.0014,Wakefield,Sussex,VA,23888.0
1,0.0,25.0,0.0,0.0,64.0,45.0,0.0,134,1.4477611940298507,41.0375,-81.4642,Akron,Summit,OH,44306.0
1,0.0,6.0,8.0,0.0,44.0,27.0,0.0,85,1.5294117647058822,42.7472,-73.7991,Latham,Albany,NY,12110.0
1,1.0,15.0,0.0,0.0,13.0,0.0,0.0,29,2.5172413793103448,27.7409,-98.0269,Alice,Jim Wells,TX,78332.0
1,0.0,4.0,0.0,0.0,21.0,1.0,3.0,29,1.7241379310344827,31.6056,-110.4281,Sierra Vista,Cochise County,AZ,
1,0.0,4.0,0.0,0.0,31.0,0.0,0.0,35,1.4285714285714286,32.8351,-105.9941,Alamogordo,Otero,NM,88310.0
1,0.0,8.0,0.0,0.0,29.0,7.0,0.0,44,1.6818181818181819,38.8897,-90.0316,Bethalto,Madison,IL,62010.0
1,0.0,16.0,0.0,0.0,22.0,34.0,0.0,72,1.75,42.5544,-92.4013,Waterloo,Black Hawk,IA,50703.0
1,9.0,17.0,0.0,0.0,1.0,61.0,0.0,88,2.090909090909091,37.4393,-105.8618,Alamosa,Alamosa,CO,81101.0
1,1.0,55.0,0.0,0.0,14.0,61.0,0.0,131,2.0610687022900764,46.0946,-118.2858,Walla Walla,Walla Walla,WA,99362.0
1,0.0,5.0,0.0,4.0,85.0,0.0,0.0,94,1.4680851063829787,32.9147,-85.9628,Alexander City,Tallapoosa,AL,35010.0
1,0.0,7.0,0.0,0.0,39.0,20.0,0.0,66,1.6666666666666667,35.2202,-101.7173,Amarillo,Potter,TX,79108.0
1,0.0,30.0,0.0,1.0,35.0,0.0,0.0,66,2.696969696969697,31.5401,-82.5074,Alma,Bacon,GA,31510.0
1,0.0,14.0,0.0,0.0,36.0,101.0,0.0,151,1.2384105960264902,43.3221,-84.6879,Alma,Gratiot,MI,48801.0
1,0.0,11.0,0.0,0.0,22.0,16.0,0.0,49,1.816326530612245,41.9905,-93.6185,Ames,Story,IA,50010.0
1,0.0,3.0,0.0,0.0,75.0,0.0,0.0,78,1.5769230769230769,33.5904,-85.8479,Oxford,Calhoun,AL,36203.0
1,0.0,5.0,0.0,0.0,55.0,2.0,0.0,62,1.5161290322580645,34.4978,-82.7097,Anderson,Anderson,SC,29626.0
1,6.0,7.0,0.0,0.0,6.0,23.0,0.0,42,1.880952380952381,45.1426,-93.2127,Minneapolis,Anoka,MN,55449.0
1,0.0,50.0,0.0,0.0,12.0,86.0,0.0,148,2.0,46.4794,-84.3572,Sault Sainte Marie,Chippewa,MI,49783.0
1,0.0,11.0,0.0,0.0,1.0,25.0,0.0,37,1.7837837837837838,42.5748,-99.9983,Johnstown,Brown,NE,69214.0
1,1.0,23.0,0.0,0.0,65.0,31.0,1.0,121,1.677685950413223,40.7081,-84.0214,Lima,Allen,OH,45804.0
1,0.0,25.0,0.0,0.0,50.0,51.0,0.0,126,1.7063492063492063,40.2964,-78.32,Martinsburg,Blair,PA,16662.0
1,0.0,9.0,0.0,0.0,1.0,13.0,0.0,23,2.0,39.5599,-104.8484,Englewood,Douglas,CO,80112.0
1,1.0,20.0,0.0,0.0,114.0,0.0,0.0,135,1.651851851851852,38.2132,-122.2807,Napa,Napa,CA,94558.0
1,1.0,10.0,0.0,0.0,13.0,0.0,0.0,24,2.2916666666666665,26.1554,-81.7746,Naples,Collier,FL,34104.0
1,0.0,8.0,0.0,0.0,26.0,14.0,0.0,48,1.4166666666666667,39.4662,-76.1688,Aberdeen Proving Ground,Harford,MD,21005.0
1,0.0,26.0,0.0,0.0,15.0,70.0,0.0,111,1.8198198198198199,45.0717,-83.5644,Alpena,Alpena,MI,49707.0
